Cust_ID,Customer_name,DOB,Gender,Flat-bldg,Address,Emailid,City,country,Zip,Mobile,Gender,pb_ind,int_cust_risk_rtng,domicile_cntry_cd,domicile_state
139760177,Ravi Ranjan,15-11-1982,M,88,"Sky tower A  Lang Ha, Hanoi",ravi ra177@gmail.com,Delhi,India,360071,7053676645,M,Y,3-,India,DL
119014663,puneet srivastava,05-07-2000,F,16-18,"Pham Hong Thai, Rach Gia, Kien Giang",puneet 663@gmail.com,Lucknow,India,560079,7053744431,F,N,5+,India,MP
141684215,Ruchika Sharma,31-10-1980,F,15,Sahastrajun nagar jule solapur,ruchika215@gmail.com,Noida,India,560032,7065358942,F,Y,3-,India,DL
139022463,AFTAB ALAM,01-06-1998,M,198,"Tran Quang Khai, Hoan Kiem, Ha Noi",aftab a463@gmail.com,Bangalore,India,560053,7065390189,M,N,4+,India,KA
123271338,nitin srivastava,14-03-1994,F,191,"Ba Trieu, Hai Ba Trung, HN",nitin s338@gmail.com,Mumbai,India,560054,7065508483,F,N,2+,India,MH
132710613,MALAY GHOSH,22-03-1997,M,201-203,"Cach mang thang Tam, Ward 4, HCMC",malay g613@gmail.com,Jaipur,India,450072,7065511555,M,Y,3-,India,RJ
139547381,lalit bhardwaj,30-04-1994,F,45,"Le Duan, District 1, HCMC",lalit b381@gmail.com,delhi,India,360043,7065550580,F,Y,5-,India,DL
113696030,Rajeev Gole,04-03-1989,M,21,"Cat Linh, Dong Da, Hanoi",rajeev 030@gmail.com,Jaipur,India,670020,7065999084,M,N,1-,India,RJ
107668174,Priya Sinha,16-04-1999,F,16,"Coprnerstone Building,  Phan ChuTrinh, Hoan Kiem, Hanoi",priya s174@gmail.com,Bhavnagar,India,760002,7428085830,F,Y,4+,India,MP
118726766,Saurabh Vashishth,08-07-1994,M,28C-28D,"Ba Trieu, Hoan Kiem, Hanoi",saurabh766@gmail.com,Delhi,India,360009,7428748969,M,Y,3-,India,DL
110644654,Rajeev Oli,13-08-1998,F,35,"Tower BIDV,  Hang Voi street, Hoan Kiem district, Ha Noi",rajeev 654@gmail.com,Calicut,India,560003,7503030994,F,Y,2+,India,UP
140711070,ekta kaushik,01-12-1985,M,108,"Tran Hung Đao street, Hoan Kiem, Ha Noi",ekta ka070@gmail.com,Delhi,India,360015,7503148162,M,N,1+,India,DL
125986433,CA INTER JASPREET SINGH,29-12-1983,F,927,"Tran Hung Dao, District 5, HCMC",ca inte433@gmail.com,Udaipur,India,560052,7503304244,F,Y,4+,India,RJ
112197287,MONIKA GUPTA,31-03-1981,M,2C,"Pho Duc Phuong, District 1, HCMC",monika 287@gmail.com,Howrah,India,560010,7503440193,M,N,2-,India,MH
136685236,RAHUL GUPTA,23-05-1985,M,77,"Hotagi Station,Solapur",rahul g236@gmail.com,Bangalore,India,560030,7503735518,M,Y,4+,India,KA
123956892,rahul sharma,01-08-1990,F,145-147-149,"Hung Vuong Road, Ward 2 Tam An town, Long An province",rahul s892@gmail.com,DELHI,India,360002,7503851822,F,Y,3-,India,DL
119747453,MANISH KUMAR,07-03-1993,F,199,"Nguyen Luong Bang street, Hai Duong ",manish 453@gmail.com,Chennai,India,220025,7503880594,F,Y,4-,India,TN
135582595,Rakesh Bhardwaj,27-06-1989,M,266-268," Nam Ky Khoi Nghia, District 3, HCMC",rakesh 595@gmail.com,Mumbai,India,560047,7503895375,M,N,5+,India,MH
121004092,deepak sharma,17-05-1999,F,57,"Ly Thuong Kiet, Hoan Kiem, Hanoi ",deepak 092@gmail.com,Varanasi,India,560085,7531968992,F,Y,3+,India,UP
119340543,Sibraj Chetry,05-06-1980,F,34A and 34B,"Han Thuyen, Pham Dinh Ho, Hanoi",sibraj 543@gmail.com,Trivandrum,India,560002,7827342642,F,N,2+,India,AP
113692063,dhruv verma,25-10-1980,M,72,"Sahajanand Apartment,Balives, Solapur",dhruv v063@gmail.com,Kanpur,India,560043,7827368500,M,Y,1-,India,MP
115621785,PRAMOD KUMAR RAI,24-10-1991,F,47,"Tran Hung Dao, Soc Trang city, Soc Trang province",pramod 785@gmail.com,Bangalore,India,560021,7827405231,F,N,4+,India,KA
43940642,PRASHANT KUMAR,28-10-1990,M,229,"MITEC building,  Tay Son, Nga Tu So, Dong Da, Hanoi",prashan642@gmail.com,Alappuzha,India,410001,7827458867,M,Y,3+,India,MP
123852853,Radhika Rajora,20-08-1984,F,109,"Capital Tower,  Tran Hung Dao street, Cua Nam ward, Hoan Kiem district, Ha Noi",radhika853@gmail.com,Mumbai,India,550032,7827546783,F,N,3+,India,MH
123406576,vikas dhatwalia,19-09-2000,M,No.2,"Lang Ha, Thanh Cong, Ba Dinh District, Hanoi",vikas d576@gmail.com,Thrissur,India,560070,7827613547,M,Y,4+,India,MH
118324978,satyaprakash bhati,20-06-1997,M,78,"8th Floor, Vincom Building, 72 Le Thanh Ton and 47 Ly Tu Trong, Ben Nghe ward, District 1, HCMC",satyapr978@gmail.com,Madurai,India,560020,7827671008,M,Y,5+,India,MP
110103123,Mansi Kaushik,13-12-1983,F,25,"Bis Nguyen Thi Minh Khai, Ben Nghe ward, District 1, Ho Chi Minh city",mansi k123@gmail.com,Bhilai Durg,India,560027,7827686639,F,Y,3-,India,UP
139630443,ATIMULAH ANSARI,28-03-1991,F,13,"Suncity Building, Hai Ba Trung,Hanoi",atimula443@gmail.com,Kolkata,India,560004,7827756131,F,Y,4-,India,MH
124587640,MD JAMIL,04-04-1999,F,72-74,"Ground Floor, Centec Building, Nguyen Thi Minh Khai, Ward 6, District 3, HCMC",md jami640@gmail.com,Hyderabad,India,160096,7827778892,F,N,2-,India,AP
125612289,Sumilan Chatterjee,17-10-1995,M,235,"Dong Khoi, Ben Nghe Ward, Distric 1, HCMC",sumilan289@gmail.com,Secendrabad,India,890072,7827971999,M,Y,1+,India,TN
139508390,Suman Gupta,03-12-1986,F,138-142,"Ground, 2,3 Floors, Empress Building, Hai Ba Trung, Đa Kao ward, district 1, Ho Chi Minh",suman g390@gmail.com,Mumbai,India,550002,7834833628,F,N,5+,India,MH
122660250,vijayveer singh,21-08-1980,F,1810-1815,"Rooms No.  Kengnam Building, Lot E6, Cau Giay, Me Tri, Tu Liem, Ha Noi",vijayve250@gmail.com,Jalandhar,India,670001,7835825804,F,N,4+,India,MP
129030512,Rohit Yadav,03-07-1982,M,CC5,"Building, Linh Dam, Hoang Liet, Hoang Mai, Hanoi",rohit y512@gmail.com,Mumbai,India,550043,7835960137,M,N,2+,India,MH
117513900,Jitender Kaushik,25-04-1993,M,25A,"Cat Linh, Hanoi",jitende900@gmail.com,Bangalore,India,560072,7836862424,M,N,4+,India,KA
