CUST_KEY,Customer_name,DOB,Address ,email_id,Mobile_no.,Cust_rating,Gender,S_n_P rating
INAD22996356,KUMUD C. RANJAN,28-12-1991,"2Nguyen Thi Minh Khai, Da Kao ward, District 1, HCMC, Chennai, 220030",kumud356@yahoo.com,8786557535,C++,F,CCC
INAS71141458,Gautam S. Mehta,01-01-1992,"22Ngo Quyen, Hoan Kiem, Hanoi, kottayam, 430011",gauta458@yahoo.com,8145398074,C++,M,AA
INAE64800299,ARUN B. KUMAR,02-06-1993,"130Phan Da Luu, Phu Nhuan District, HCMC, Mumbai, 556001",arun 299@yahoo.com,9994222292,C+,M,BB
INAE33153153,Abdul V. Ansari,14-03-1982,"25Tran Hung Dao, Hoan Kiem, Hanoi, Aurangabad, 560038",abdul153@yahoo.com,9401286789,C++,F,AA
INAB86232053,Ravi D. Ranjan,15-11-1982,"88Sky tower A  Lang Ha, Hanoi, Delhi, 360071",ravi 053@yahoo.com,8735628069,A+,M,CCC
INAN28360958,puneet K. srivastava,05-07-2000,"16-18Pham Hong Thai, Rach Gia, Kien Giang, Lucknow, 560079",punee958@yahoo.com,8516416826,B+,F,A
INAM66225639,Ruchika R. Sharma,31-10-1980,"15Sahastrajun nagar jule solapur,Noida, 560032",ruchi639@yahoo.com,8674637901,A+,F,C
INMH99007660,AFTAB S. ALAM,01-06-1998,"198Tran Quang Khai, Hoan Kiem, Ha Noi, Bangalore, 560053",aftab660@hotmail.com,8085846440,A++,M,A
INAP39194052,nitin R.srivastava,14-03-1994,"191Ba Trieu, Hai Ba Trung, HN, Mumbai, 560054",nitin052@hotmail.com,9363938721,C++,F,BBB
INKA55603404,MALAY M. GHOSH,22-03-1997,"201-203Cach mang thang Tam, Ward 4, HCMC, Jaipur, 450072",malay404@hotmail.com,8527229394,C+,M,CCC
INUP34290162,lalit T.bhardwaj,30-04-1994,"45Le Duan, District 1, HCMC, delhi, 360043",lalit162@hotmail.com,9266660601,B+,F,AAA
INMP86309873,Rajeev V. Gole,04-03-1989,"21Cat Linh, Dong Da, Hanoi,Jaipur,670020",rajee873@hotmail.com,9122392625,A++,M,CC
INJK62135573,Priya J. Sinha,16-04-1999,"16Coprnerstone Building,  Phan ChuTrinh, Hoan Kiem, Hanoi,Bhavnagar,760002",priya573@hotmail.com,8290550343,A+,F,CC
INTN69500620,Saurabh S. Vashishth,08-07-1994,"28C-28DBa Trieu, Hoan Kiem, Hanoi,Delhi,360009",saura620@hotmail.com,8714501368,A+,M,B
INGJ40648189,Rajeev F. Oli,13-08-1998,"35Tower BIDV,  Hang Voi street, Hoan Kiem district, Ha Noi , Calicut560003",rajee189@hotmail.com,8156272245,B+,F,AA
INDL35046416,ekta D.kaushik,01-12-1985,"108Tran Hung Đao street, Hoan Kiem, Ha Noi, Delhi, 360015",ekta 416@hotmail.com,9550078704,B++,M,BBB
INMH98842641,CA INTER J. SINGH,29-12-1983,"927Tran Hung Dao, District 5, HCMC, Udaipur, 560052",ca in641@hotmail.com,9214157171,C++,F,BB
INKA37009759,MONIKA A. GUPTA,31-03-1981,"2CPho Duc Phuong, District 1, HCMC, Howrah, 560010",monik759@hotmail.com,9961557097,B+,M,BBB
INCG31305447,RAHUL P. GUPTA,23-05-1985,"77Hotagi Station,Solapur, Bangalore, 560030",rahul719@rediffmail.com,9838686889,A+,M,BBB
INGJ25773719,rahul S. sharma,01-08-1990,"145-147-149Hung Vuong Road, Ward 2 Tam An town, Long An province, DELHI, 360002",rahul778@rediffmail.com,8795237403,B+,F,CCC
INAP33205778,MANISH A. KUMAR,07-03-1993,"199Nguyen Luong Bang street, Hai Duong, Chennai, 220025",manis717@rediffmail.com,8371158218,B+,F,AA
INMH95401717,Rakesh K. Bhardwaj,27-06-1989,"266-268 Nam Ky Khoi Nghia, District 3, HCMC, Mumbai, 560047",rakes160@rediffmail.com,9769070374,A+,M,CC
INAB43663160,deepak L.sharma,17-05-1999,"57Ly Thuong Kiet, Hoan Kiem, Hanoi, Varanasi, 560085",deepa113@rediffmail.com,9078130664,C++,F,BB
INDL95182113,Sibraj B. Chetry,05-06-1980,"34A and 34BHan Thuyen, Pham Dinh Ho, Hanoi,Trivandrum, 560002",sibra641@rediffmail.com,8471835134,C+,F,BB
INMH97191641,dhruv N. verma,25-10-1980,"72Sahajanand Apartment,Balives, Solapur, Kanpur, 560043",dhruv843@rediffmail.com,8650709274,B++,M,BB
INTN68582843,PRAMOD K. RAI,24-10-1991,"47Tran Hung Dao, Soc Trang city, Soc Trang province, Bangalore, 560021",pramo836@rediffmail.com,9088486114,B++,F,CC
INGJ27381836,PRASHANT H. KUMAR,28-10-1990,"229MITEC building,  Tay Son, Nga Tu So, Dong Da, Hanoi,Alappuzha, 410001",prash378@rediffmail.com,8023869975,C+,M,CCC
INJK44169378,Radhika D. Rajora,20-08-1984,"109Capital Tower,  Tran Hung Dao street, Cua Nam ward, Hoan Kiem district, Ha Noi,Mumbai, 550032",radhi908@rediffmail.com,9033995305,C+,F,CC
INUP76832908,vikas V. dhatwalia,19-09-2000,"No.2Lang Ha, Thanh Cong, Ba Dinh District, Hanoi, Thrissur, 560070",vikas621@rediffmail.com,8090978907,B++,M,B
INMP11897621,satyaprakash S. bhati,20-06-1997,"788th Floor, Vincom Building, 72 Le Thanh Ton and 47 Ly Tu Trong, Ben Nghe ward, District 1, HCMC,Madurai, 560020",satya055@rediffmail.com,9734343986,A+,M,CCC
INMH28488055,Mansi Y.Kaushik,13-12-1983,"25Bis Nguyen Thi Minh Khai, Ben Nghe ward, District 1, Ho Chi Minh city,Bhilai,Durg560027",mansi995@rediffmail.com,8357681701,C+,F,AAA
INRJ52856995,ATIMULAH S. ANSARI,28-03-1991,"13Suncity Building, Hai Ba Trung,Hanoi, Kolkata560004",atimu813@rediffmail.com,8279677790,A++,F,CC
INKA50067813,MD JAMIL K.,04-04-1999,"72-74Ground Floor, Centec Building, Nguyen Thi Minh Khai, Ward 6, District 3, HCMC, Hyderabad, 160096",md ja956@rediffmail.com,9849836637,A++,F,CCC
INGJ13708956,Sumilan D. Chatterjee,17-10-1995,"235Dong Khoi, Ben Nghe Ward, Distric 1, HCMC, Secendrabad, 890072",sumilan289@gmail.com,8405096806,A+,M,C
INPB79018195,Suman C. Gupta,03-12-1986,"138-142Ground, 2,3 Floors, Empress Building, Hai Ba Trung, Đa Kao ward, district 1, Ho Chi Minh, Mumbai550002",suman g390@gmail.com,9243265344,A++,F,C
INMH52530242,vijayveer E.  singh,21-08-1980,"1810-1815Rooms No.  Kengnam Building, Lot E6, Cau Giay, Me Tri, Tu Liem, Ha Noi, Jalandhar,670001",vijayve250@gmail.com,9320944719,B++,F,A
INKA65345041,Rohit R. Yadav,03-07-1982,"CC5Building, Linh Dam, Hoang Liet, Hoang Mai, Hanoi,Mumbai,550043",rohit y512@gmail.com,9132744805,C+,M,AAA
INJK52442890,Jitender K. Kaushik,25-04-1993,"25ACat Linh, Hanoi,Bangalore, 560072",jitende900@gmail.com,8489002028,C+,M,AAA
